RBG_CYC_83758_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C3C3_0000_11_3 (300407 Points)
Capacity (mAh)	Voltage (V)
173.76	3.9177
179.36	3.9425
184.97	3.9676
190.57	3.993
196.18	4.0187
201.78	4.0451
207.39	4.0721
212.97	4.0981
216.05	4.0981
217.38	4.0981
217.46	4.0981
0	4.0869
5.61	4.0407
11.21	4.0088
16.82	3.9791
22.42	3.9496
28.03	3.9202
33.63	3.8901
39.24	3.8597
44.84	3.8318
50.45	3.8054
56.05	3.7803
61.66	3.7565
67.26	3.7332
72.87	3.7112
78.47	3.6904
84.08	3.6709
89.68	3.6532
95.29	3.638
100.89	3.6238
106.5	3.6114
112.1	3.5996
117.71	3.589
123.31	3.5785
128.92	3.5686
134.52	3.5584
140.13	3.5475
145.73	3.536
151.34	3.523
156.94	3.5091
162.55	3.4923
168.15	3.4743
173.76	3.4554
179.36	3.4371
184.97	3.421
190.57	3.403
196.18	3.3813
201.78	3.3506
207.39	3.3026
210.51	3.2524
212.6	3.2021
212.99	3.1913
214.49	3.1411
215.68	3.0905
216.69	3.0397
217.36	2.9991
0	3.1048
0.13	3.1591
0.52	3.2093
1.31	3.2595
2.71	3.3097
4.8	3.3599
5.61	3.3748
8.67	3.425
11.21	3.452
21.02	3.483
22.42	3.4864
28.03	3.5001
33.63	3.5134
39.24	3.5277
44.84	3.5444
50.45	3.5627
56.05	3.581
61.66	3.5987
67.26	3.6132
72.87	3.625
78.47	3.6352
84.08	3.6442
89.68	3.6529
95.29	3.6619
100.89	3.6709
106.5	3.6811
112.1	3.6926
117.71	3.7053
123.31	3.7202
128.92	3.736
134.52	3.7549
140.13	3.7754
145.73	3.7974
151.34	3.8203
156.94	3.8445
162.55	3.8687
168.15	3.8932
173.76	3.9177
179.36	3.9422
184.97	3.967
190.57	3.9924
196.18	4.0184
201.78	4.0451
207.39	4.0724
212.97	4.0981
216.05	4.0981
217.36	4.0981
217.41	4.0981
0	4.0869
5.61	4.0407
11.21	4.0091
16.82	3.9791
22.42	3.9493
28.03	3.9195
33.63	3.8891
39.24	3.8591
44.84	3.8315
50.45	3.8051
56.05	3.78
61.66	3.7562
67.26	3.7329
72.87	3.7112
78.47	3.6901
84.08	3.6703
89.68	3.6529
95.29	3.6374
100.89	3.6235
106.5	3.6108
112.1	3.5993
117.71	3.5887
123.31	3.5782
128.92	3.5686
134.52	3.5584
140.13	3.5472
145.73	3.5354
151.34	3.5227
156.94	3.5084
162.55	3.492
168.15	3.4737
173.76	3.4545
179.36	3.4365
184.97	3.4207
190.57	3.403
196.18	3.381
201.78	3.3503
207.39	3.3007
210.45	3.2505
212.54	3.1997
212.99	3.1876
214.47	3.1374
215.68	3.0868
216.67	3.0366
217.29	2.9991
0	3.1008
0.13	3.1522
0.54	3.204
1.35	3.2545
2.77	3.3051
4.86	3.3556
5.61	3.3702
8.61	3.4204
11.21	3.4502
16.82	3.4712
22.42	3.4855
28.03	3.4991
33.63	3.5125
39.24	3.5274
44.84	3.5438
50.45	3.5618
56.05	3.5804
61.66	3.598
67.26	3.6126
72.87	3.6247
78.47	3.6349
84.08	3.6436
89.68	3.6526
95.29	3.6616
100.89	3.6706
106.5	3.6808
112.1	3.6926
117.71	3.7053
123.31	3.7196
128.92	3.7357
134.52	3.7546
140.13	3.7751
145.73	3.7971
151.34	3.82
156.94	3.8442
162.55	3.8687
168.15	3.8932
173.76	3.9177
179.36	3.9419
184.97	3.9673
190.57	3.9927
196.18	4.0187
201.78	4.0451
207.39	4.0721
212.97	4.0981
216.02	4.0981
217.31	4.0981
217.35	4.0981
0	4.0869
5.61	4.0407
11.21	4.0091
16.82	3.9787
22.42	3.9493
28.03	3.9192
33.63	3.8888
39.24	3.8585
44.84	3.8312
50.45	3.8051
56.05	3.78
61.66	3.7558
67.26	3.7326
72.87	3.7109
78.47	3.6898
84.08	3.6703
89.68	3.6526
95.29	3.6371
100.89	3.6232
106.5	3.6108
112.1	3.599
117.71	3.5884
123.31	3.5782
128.92	3.5683
134.52	3.558
140.13	3.5469
145.73	3.5354
151.34	3.5224
156.94	3.5081
162.55	3.4914
168.15	3.4731
173.76	3.4536
179.36	3.4362
184.97	3.4204
190.57	3.4024
196.18	3.381
201.78	3.3503
207.33	3.3001
207.39	3.2998
210.37	3.2496
212.45	3.1994
212.99	3.1839
214.47	3.1339
215.66	3.0834
216.65	3.0332
217.23	2.9997
0	3.0974
0.15	3.1488
0.58	3.2009
1.42	3.2514
2.86	3.3017
4.91	3.3519
5.61	3.3655
8.56	3.4157
11.21	3.4483
16.82	3.4706
22.42	3.4849
28.03	3.4985
33.63	3.5119
39.24	3.5264
44.84	3.5429
50.45	3.5611
56.05	3.5794
61.66	3.5974
67.26	3.6123
72.87	3.6244
78.47	3.6346
84.08	3.6436
89.68	3.6523
95.29	3.6613
100.89	3.6703
106.5	3.6805
112.1	3.6923
117.71	3.705
123.31	3.7193
128.92	3.7357
134.52	3.7546
140.13	3.7751
145.73	3.7968
151.34	3.82
156.94	3.8442
162.55	3.8687
168.15	3.8932
173.76	3.9174
179.36	3.9422
184.97	3.9673
190.57	3.9927
196.18	4.0184
201.78	4.0451
207.39	4.0724
212.96	4.0981
215.97	4.0981
217.25	4.0981
217.29	4.0981
0	4.0869
5.61	4.0411
11.21	4.0091
16.82	3.9787
22.42	3.949
28.03	3.9189
33.63	3.8882
39.24	3.8585
44.84	3.8309
50.45	3.8048
56.05	3.78
61.66	3.7558
67.26	3.7326
72.87	3.7103
78.47	3.6895
84.08	3.67
89.68	3.6526
95.29	3.6368
100.89	3.6225
106.5	3.6104
112.1	3.599
117.71	3.5884
123.31	3.5776
128.92	3.5677
134.52	3.5574
140.13	3.5469
145.73	3.5351
151.34	3.5221
156.94	3.5075
162.55	3.4908
168.15	3.4725
173.76	3.4533
179.36	3.4359
184.97	3.4201
190.57	3.4024
196.18	3.381
201.78	3.35
207.24	3.2998
207.39	3.2979
210.34	3.2477
212.37	3.1975
212.99	3.1808
214.45	3.1305
215.64	3.0803
216.63	3.0301
217.14	2.9997
0	3.0946
0.19	3.1463
0.6	3.1966
1.46	3.2471
2.88	3.2973
4.91	3.3482
5.61	3.3618
8.52	3.412
11.21	3.4464
16.82	3.47
22.42	3.4843
28.03	3.4982
33.63	3.5115
39.24	3.5261
44.84	3.5422
50.45	3.5605
56.05	3.5791
61.66	3.5968
67.26	3.612
72.87	3.6241
78.47	3.6343
84.08	3.6433
89.68	3.652
95.29	3.661
100.89	3.6703
106.5	3.6805
112.1	3.692
117.71	3.7047
123.31	3.7193
128.92	3.7357
134.52	3.754
140.13	3.7748
145.73	3.7968
151.34	3.82
156.94	3.8439
162.55	3.8684
168.15	3.8929
173.76	3.9177
179.36	3.9422
184.97	3.967
190.57	3.9924
196.18	4.0184
201.78	4.0454
207.39	4.0727
212.96	4.0981
215.95	4.0981
217.21	4.0981
0	4.0869
5.61	4.0411
11.21	4.0091
16.82	3.9784
22.42	3.9487
28.03	3.9183
33.63	3.8876
39.24	3.8578
44.84	3.8306
50.45	3.8045
56.05	3.7797
61.66	3.7555
67.26	3.7323
72.87	3.7103
78.47	3.6892
84.08	3.6697
89.68	3.652
95.29	3.6368
100.89	3.6225
106.5	3.6104
112.1	3.5987
117.71	3.5878
123.31	3.5776
128.92	3.5677
134.52	3.5574
140.13	3.5466
145.73	3.5348
151.34	3.5218
156.94	3.5072
162.55	3.4905
168.15	3.4716
173.76	3.4523
179.36	3.4356
184.97	3.4201
190.57	3.4021
196.18	3.3807
201.78	3.3494
207.16	3.2992
207.39	3.2964
210.26	3.2462
212.3	3.1959
212.99	3.1764
214.43	3.1262
215.62	3.076
216.61	3.0257
217.06	2.9997
0	3.0915
0.17	3.142
0.62	3.1932
1.51	3.2443
2.91	3.2948
4.95	3.3451
5.61	3.3578
8.44	3.408
11.21	3.4443
16.82	3.4694
22.42	3.484
28.03	3.4979
33.63	3.5109
39.24	3.5255
44.84	3.5419
50.45	3.5602
56.05	3.5785
61.66	3.5962
67.26	3.6114
72.87	3.6241
78.47	3.6343
84.08	3.6433
89.68	3.6517
95.29	3.6607
100.89	3.67
106.5	3.6805
112.1	3.692
117.71	3.7044
123.31	3.7189
128.92	3.7354
134.52	3.754
140.13	3.7744
145.73	3.7968
151.34	3.8197
156.94	3.8439
162.55	3.8687
168.15	3.8932
173.76	3.9177
179.36	3.9422
184.97	3.9673
190.57	3.993
196.18	4.0187
201.78	4.0454
207.39	4.0727
212.95	4.0981
215.91	4.0981
217.12	4.0981
0	4.0863
5.61	4.0407
11.21	4.0088
16.82	3.9784
22.42	3.9484
28.03	3.9183
33.63	3.887
39.24	3.8572
44.84	3.8302
50.45	3.8045
56.05	3.7794
61.66	3.7552
67.26	3.732
72.87	3.71
78.47	3.6892
84.08	3.6697
89.68	3.652
95.29	3.6365
100.89	3.6225
106.5	3.6101
112.1	3.5984
117.71	3.5878
123.31	3.5776
128.92	3.5677
134.52	3.5574
140.13	3.5463
145.73	3.5348
151.34	3.5215
156.94	3.5072
162.55	3.4898
168.15	3.4712
173.76	3.452
179.36	3.4356
184.97	3.4198
190.57	3.4018
196.18	3.3804
201.78	3.3494
207.07	3.2992
207.39	3.2955
210.19	3.2452
212.21	3.195
212.99	3.1724
214.43	3.1222
215.62	3.0722
216.6	3.0217
216.97	2.9997
0	3.0887
0.19	3.1392
0.64	3.1894
1.49	3.2397
2.91	3.2902
4.91	3.3407
5.61	3.3547
8.39	3.4049
11.21	3.4437
16.82	3.4694
22.42	3.4833
28.03	3.4973
33.63	3.5109
39.24	3.5252
44.84	3.5416
50.45	3.5596
56.05	3.5779
61.66	3.5962
67.26	3.6114
72.87	3.6238
78.47	3.634
84.08	3.643
89.68	3.6517
95.29	3.6607
100.89	3.67
106.5	3.6802
112.1	3.692
117.71	3.7044
123.31	3.7189
128.92	3.7354
134.52	3.7543
140.13	3.7748
145.73	3.7968
151.34	3.82
156.94	3.8445
162.55	3.869
168.15	3.8932
173.76	3.9177
179.36	3.9425
184.97	3.9676
190.57	3.9933
196.18	4.0194
201.78	4.0457
207.39	4.0733
212.94	4.0981
215.84	4.0981
217.05	4.0981
0	4.0863
5.61	4.0414
11.21	4.0094
16.82	3.9784
22.42	3.9484
28.03	3.918
33.63	3.887
39.24	3.8575
44.84	3.8302
50.45	3.8042
56.05	3.7797
61.66	3.7555
67.26	3.7323
72.87	3.71
78.47	3.6889
84.08	3.6697
89.68	3.652
95.29	3.6362
100.89	3.6222
106.5	3.6098
112.1	3.5987
117.71	3.5878
123.31	3.5773
128.92	3.5673
134.52	3.5574
140.13	3.5463
145.73	3.5345
151.34	3.5215
156.94	3.5069
162.55	3.4898
168.15	3.4709
173.76	3.4514
179.36	3.4353
184.97	3.4198
190.57	3.4018
196.18	3.3804
201.78	3.3491
207.03	3.2989
207.39	3.2942
210.17	3.244
212.21	3.1938
212.99	3.1708
214.43	3.1206
215.62	3.0701
216.62	3.0192
216.95	2.9997
0	3.0859
0.21	3.1395
0.71	3.1901
1.61	3.2403
3.06	3.2908
5.08	3.341
5.61	3.3516
8.35	3.4018
11.21	3.4412
16.82	3.4691
22.42	3.483
28.03	3.497
33.63	3.5103
39.24	3.5249
44.84	3.541
50.45	3.5593
56.05	3.577
61.66	3.5953
67.26	3.6111
72.87	3.6238
78.47	3.634
84.08	3.6427
89.68	3.6517
95.29	3.6607
100.89	3.67
106.5	3.6799
112.1	3.6914
117.71	3.7044
123.31	3.7189
128.92	3.7351
134.52	3.754
140.13	3.7748
145.73	3.7971
151.34	3.82
156.94	3.8442
162.55	3.8687
168.15	3.8935
173.76	3.918
179.36	3.9425
184.97	3.9676
190.57	3.9933
196.18	4.0194
201.78	4.046
207.39	4.0733
212.93	4.0981
215.81	4.0981
216.97	4.0981
0	4.0873
5.61	4.0411
11.21	4.0091
16.82	3.9784
22.42	3.9484
28.03	3.9177
33.63	3.886
39.24	3.8566
44.84	3.8296
50.45	3.8042
56.05	3.7794
61.66	3.7549
67.26	3.7317
72.87	3.7096
78.47	3.6886
84.08	3.6693
89.68	3.6517
95.29	3.6362
100.89	3.6219
106.5	3.6098
112.1	3.598
117.71	3.5875
123.31	3.5773
128.92	3.5673
134.52	3.5571
140.13	3.5463
145.73	3.5342
151.34	3.5208
156.94	3.5063
162.55	3.4892
168.15	3.4703
173.76	3.4511
179.36	3.435
184.97	3.4192
190.57	3.4015
196.18	3.3801
201.78	3.3488
206.88	3.2986
207.39	3.2921
210.08	3.2421
212.09	3.1919
212.99	3.1662
214.41	3.1156
215.59	3.0651
216.56	3.0149
216.84	2.9988
0	3.0828
0.21	3.1333
0.69	3.1845
1.61	3.2359
3.05	3.2865
5.01	3.3367
5.61	3.3485
8.31	3.3987
11.21	3.439
16.82	3.4688
22.42	3.4824
28.03	3.4964
33.63	3.51
39.24	3.5246
44.84	3.5407
50.45	3.559
56.05	3.5766
61.66	3.5949
67.26	3.6108
72.87	3.6241
78.47	3.6337
84.08	3.6427
89.68	3.6514
95.29	3.6607
100.89	3.67
106.5	3.6799
112.1	3.6914
117.71	3.7041
123.31	3.7189
128.92	3.7354
134.52	3.754
140.13	3.7744
145.73	3.7968
151.34	3.82
156.94	3.8445
162.55	3.869
168.15	3.8932
173.76	3.9177
179.36	3.9425
184.97	3.9679
190.57	3.9936
196.18	4.0194
201.78	4.046
207.39	4.0733
212.93	4.0981
215.78	4.0981
216.9	4.0984
0	4.0857
5.61	4.0411
11.21	4.0088
16.82	3.9784
22.42	3.9481
28.03	3.9174
33.63	3.8857
39.24	3.8566
44.84	3.8296
50.45	3.8042
56.05	3.7797
61.66	3.7552
67.26	3.7317
72.87	3.7096
78.47	3.6886
84.08	3.6693
89.68	3.6517
95.29	3.6359
100.89	3.6219
106.5	3.6095
112.1	3.598
117.71	3.5878
123.31	3.577
128.92	3.567
134.52	3.5568
140.13	3.546
145.73	3.5348
151.34	3.5212
156.94	3.506
162.55	3.4886
168.15	3.4697
173.76	3.4508
179.36	3.435
184.97	3.4192
190.57	3.4012
196.18	3.3798
201.78	3.3482
206.86	3.2979
207.39	3.2905
210.1	3.2403
212.08	3.1901
212.99	3.1634
214.41	3.1125
215.59	3.0623
216.56	3.0118
