RBG_CYC_83758_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C3C3_0000_11_3 (300407 Points)
Capacity (mAh)	Voltage (V)
16.82	3.4601
22.42	3.4762
28.03	3.4911
39.16	3.5199
39.24	3.5199
44.84	3.5354
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.6083
72.87	3.6225
78.47	3.6349
84.08	3.6449
89.68	3.6538
95.29	3.6635
100.89	3.6737
106.5	3.6852
112.1	3.6982
117.71	3.7124
123.31	3.7295
128.92	3.7484
134.52	3.7695
140.13	3.7921
145.73	3.8166
151.34	3.8414
156.94	3.8668
162.55	3.8926
168.15	3.9183
173.76	3.9434
179.36	3.9685
184.97	3.9942
190.57	4.0209
196.18	4.0488
201.78	4.077
207.12	4.0981
209.5	4.0981
210.22	4.0984
0	4.0863
5.61	4.0398
11.21	4.0066
16.82	3.9722
22.42	3.9344
28.03	3.9022
33.63	3.8743
39.24	3.8482
44.84	3.8231
50.45	3.7977
56.05	3.7726
61.66	3.7478
67.26	3.7233
72.87	3.7003
78.47	3.679
84.08	3.6594
89.68	3.6418
95.29	3.6263
100.89	3.6126
106.5	3.6002
112.1	3.589
117.71	3.5782
123.31	3.5677
128.92	3.5571
134.52	3.5453
140.13	3.5332
145.73	3.519
151.34	3.5029
156.94	3.4846
162.55	3.4644
168.15	3.4502
173.76	3.4362
179.36	3.4213
184.97	3.4046
190.57	3.3847
196.18	3.3503
199.93	3.3001
201.78	3.2666
204.06	3.2164
205.93	3.1662
207.39	3.12
208.69	3.0698
209.81	3.0186
210.21	2.9985
0	3.0313
0.49	3.0828
1.25	3.133
2.28	3.1832
3.64	3.2335
5.34	3.284
5.61	3.2896
7.77	3.3398
10.5	3.39
11.21	3.4009
15.25	3.4511
16.82	3.4598
22.42	3.4765
28.03	3.4911
33.63	3.5057
39.24	3.5199
44.84	3.5348
50.45	3.5525
56.05	3.5714
61.66	3.5897
67.26	3.608
72.87	3.6222
78.47	3.6346
84.08	3.6442
89.68	3.6535
95.29	3.6631
100.89	3.6734
106.5	3.6848
112.1	3.6979
117.71	3.7124
123.31	3.7295
128.92	3.7484
134.52	3.7698
140.13	3.7924
145.73	3.8163
151.34	3.8411
156.94	3.8665
162.55	3.8922
168.15	3.918
173.76	3.9431
179.36	3.9685
184.97	3.9942
190.57	4.0209
196.18	4.0485
201.78	4.0767
207.12	4.0981
209.51	4.0981
210.22	4.0984
0	4.0869
5.61	4.0395
11.21	4.0063
16.82	3.9719
22.42	3.9344
28.03	3.9022
33.63	3.8743
39.24	3.8485
44.84	3.8228
50.45	3.7977
56.05	3.7726
61.66	3.7475
67.26	3.7236
72.87	3.7003
78.47	3.6786
84.08	3.6594
89.68	3.6418
95.29	3.6263
100.89	3.6126
106.5	3.6002
112.1	3.5887
117.71	3.5779
123.31	3.5673
128.92	3.5568
134.52	3.5453
140.13	3.5332
145.73	3.519
151.34	3.5029
156.94	3.4843
162.55	3.4641
168.15	3.4499
173.76	3.4362
179.36	3.4213
184.97	3.4046
190.57	3.3847
196.18	3.35
199.91	3.2998
201.78	3.266
204.04	3.2155
205.93	3.1649
207.39	3.1194
208.69	3.0688
209.8	3.0183
210.17	2.9988
0	3.0319
0.47	3.0819
1.23	3.1324
2.26	3.1826
3.61	3.2328
5.31	3.2828
5.61	3.2902
7.79	3.3404
10.54	3.3906
11.21	3.4009
15.26	3.4511
16.82	3.4598
22.42	3.4762
28.03	3.4911
33.63	3.5057
39.24	3.5199
44.84	3.5351
50.45	3.5522
56.05	3.5714
61.66	3.5897
67.26	3.608
72.87	3.6222
78.47	3.6349
84.08	3.6445
89.68	3.6535
95.29	3.6631
100.89	3.6734
106.5	3.6848
112.1	3.6982
117.71	3.7127
123.31	3.7295
128.92	3.7484
134.52	3.7698
140.13	3.7924
145.73	3.8166
151.34	3.8411
156.94	3.8668
162.55	3.8922
168.15	3.918
173.76	3.9434
179.36	3.9688
184.97	3.9942
190.57	4.0212
196.18	4.0488
201.78	4.077
207.11	4.0984
209.48	4.0984
210.2	4.0984
0	4.0869
5.61	4.0398
11.21	4.0063
16.82	3.9719
22.42	3.9344
28.03	3.9025
33.63	3.8743
39.24	3.8485
44.84	3.8231
50.45	3.798
56.05	3.7726
61.66	3.7475
67.26	3.7233
72.87	3.7003
78.47	3.679
84.08	3.6594
89.68	3.6421
95.29	3.6263
100.89	3.6126
106.5	3.6002
112.1	3.5887
117.71	3.5779
123.31	3.5673
128.92	3.5568
134.52	3.5453
140.13	3.5329
145.73	3.519
151.34	3.5029
156.94	3.4846
162.55	3.4641
168.15	3.4499
173.76	3.4362
179.36	3.421
184.97	3.4043
190.57	3.3847
196.18	3.35
199.89	3.2998
201.78	3.2654
204.04	3.2152
205.91	3.1649
207.39	3.1184
208.69	3.0676
209.8	3.0168
210.13	2.9997
0	3.0326
0.49	3.0837
1.25	3.1346
2.32	3.1848
3.68	3.2353
5.38	3.2855
5.61	3.2905
7.77	3.3407
10.54	3.3909
11.21	3.4012
15.3	3.4514
16.82	3.4598
22.42	3.4762
28.03	3.4911
33.63	3.5057
39.24	3.5199
44.84	3.5354
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.608
72.87	3.6222
78.47	3.6349
84.08	3.6445
89.68	3.6535
95.29	3.6635
100.89	3.6737
106.5	3.6852
112.1	3.6982
117.71	3.7127
123.31	3.7298
128.92	3.7487
134.52	3.7701
140.13	3.7927
145.73	3.8169
151.34	3.8417
156.94	3.8671
162.55	3.8929
168.15	3.9183
173.76	3.9434
179.36	3.9688
184.97	3.9949
190.57	4.0215
196.18	4.0491
201.78	4.0776
207.08	4.0984
209.42	4.0981
210.15	4.0981
0	4.0869
5.61	4.0395
11.21	4.0063
16.82	3.9716
22.42	3.9344
28.03	3.9022
33.63	3.8746
39.24	3.8485
44.84	3.8231
50.45	3.7977
56.05	3.7723
61.66	3.7475
67.26	3.723
72.87	3.7003
78.47	3.6786
84.08	3.6594
89.68	3.6418
95.29	3.6263
100.89	3.6126
106.5	3.6002
112.1	3.589
117.71	3.5779
123.31	3.5673
128.92	3.5568
134.52	3.5453
140.13	3.5329
145.73	3.519
151.34	3.5029
156.94	3.4843
162.55	3.4641
168.15	3.4499
173.76	3.4362
179.36	3.421
184.97	3.4043
190.57	3.3844
196.18	3.3494
199.87	3.2992
201.78	3.2648
204.02	3.2145
205.89	3.1643
207.39	3.1166
208.69	3.066
209.8	3.0149
210.09	2.9994
0	3.0323
0.49	3.0843
1.27	3.1346
2.32	3.1848
3.68	3.2353
5.4	3.2855
5.61	3.2905
7.77	3.3407
10.52	3.3909
11.21	3.4012
15.25	3.4514
16.82	3.4604
22.42	3.4765
28.03	3.4911
37.91	3.5168
39.24	3.5199
44.84	3.5351
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.608
72.87	3.6222
78.47	3.6349
84.08	3.6445
89.68	3.6535
95.29	3.6635
100.89	3.6737
106.5	3.6852
112.1	3.6982
117.71	3.7127
123.31	3.7298
128.92	3.749
134.52	3.7701
140.13	3.7927
145.73	3.8169
151.34	3.8417
156.94	3.8674
162.55	3.8932
168.15	3.9186
173.76	3.9437
179.36	3.9691
184.97	3.9949
190.57	4.0218
196.18	4.0494
201.78	4.0776
207.07	4.0984
209.4	4.0981
210.12	4.0981
0	4.0869
5.61	4.0398
11.21	4.0066
16.82	3.9719
22.42	3.9344
28.03	3.9025
33.63	3.8746
39.24	3.8485
44.84	3.8228
50.45	3.7977
56.05	3.7726
61.66	3.7475
67.26	3.7233
72.87	3.7003
78.47	3.679
84.08	3.6594
89.68	3.6418
95.29	3.6263
100.89	3.6126
106.5	3.6002
112.1	3.589
117.71	3.5782
123.31	3.5677
128.92	3.5565
134.52	3.545
140.13	3.5329
145.73	3.519
151.34	3.5029
156.94	3.4843
162.55	3.4638
168.15	3.4495
173.76	3.4362
179.36	3.421
184.97	3.4046
190.57	3.3844
196.18	3.3494
199.87	3.2992
201.78	3.2648
204	3.2145
205.87	3.164
207.39	3.1163
208.67	3.066
209.76	3.0158
210.08	2.9994
0	3.0323
0.49	3.0834
1.25	3.1336
2.32	3.1842
3.68	3.235
5.42	3.2855
5.61	3.2899
7.77	3.3401
10.52	3.3903
11.21	3.4009
15.23	3.4511
16.82	3.4601
22.42	3.4765
28.03	3.4911
33.63	3.506
39.24	3.5199
44.84	3.5351
50.45	3.5528
56.05	3.5714
61.66	3.59
67.26	3.6083
72.87	3.6225
78.47	3.6349
84.08	3.6445
89.68	3.6535
95.29	3.6635
100.89	3.6737
106.5	3.6852
112.1	3.6985
117.71	3.7131
123.31	3.7298
128.92	3.749
134.52	3.7701
140.13	3.7927
145.73	3.8169
151.34	3.842
156.94	3.8674
162.55	3.8932
168.15	3.9186
173.76	3.944
179.36	3.9691
184.97	3.9952
190.57	4.0221
196.18	4.0497
201.78	4.078
207.06	4.0984
209.39	4.0984
210.08	4.0981
0	4.0869
5.61	4.0398
11.21	4.0066
16.82	3.9719
22.42	3.9344
28.03	3.9022
33.63	3.8743
39.24	3.8482
44.84	3.8228
50.45	3.7977
56.05	3.7726
61.66	3.7475
67.26	3.7233
72.87	3.7003
78.47	3.6786
84.08	3.6591
89.68	3.6418
95.29	3.6259
100.89	3.6126
106.5	3.6002
112.1	3.589
117.71	3.5779
123.31	3.5673
128.92	3.5568
134.52	3.545
140.13	3.5329
145.73	3.5187
151.34	3.5026
156.94	3.484
162.55	3.4638
168.15	3.4499
173.76	3.4362
179.36	3.421
184.97	3.4043
190.57	3.3841
196.18	3.3488
199.84	3.2986
201.78	3.2629
204.02	3.2121
205.91	3.1612
207.39	3.1141
208.64	3.0639
209.74	3.0133
210	2.9994
0	3.0323
0.5	3.084
1.25	3.1343
2.32	3.1845
3.68	3.2347
5.38	3.2849
5.61	3.2899
7.75	3.3401
10.5	3.3903
11.21	3.4009
15.23	3.4511
16.82	3.4604
22.42	3.4765
28.03	3.4914
33.63	3.5057
39.24	3.5199
44.84	3.5351
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.6083
72.87	3.6222
78.47	3.6349
84.08	3.6449
89.68	3.6538
95.29	3.6635
100.89	3.674
106.5	3.6855
112.1	3.6985
117.71	3.7131
123.31	3.7301
128.92	3.749
134.52	3.7704
140.13	3.793
145.73	3.8172
151.34	3.8423
156.94	3.8678
162.55	3.8932
168.15	3.9189
173.76	3.944
179.36	3.9694
184.97	3.9955
190.57	4.0225
196.18	4.05
201.78	4.0783
207.05	4.0981
209.35	4.0981
210.03	4.0981
0	4.0869
5.61	4.0398
11.21	4.0066
16.82	3.9719
22.42	3.9344
28.03	3.9025
33.63	3.8746
39.24	3.8485
44.84	3.8228
50.45	3.7977
56.05	3.7726
61.66	3.7475
67.26	3.7233
72.87	3.7003
78.47	3.679
84.08	3.6594
89.68	3.6418
95.29	3.6263
100.89	3.6126
106.5	3.6002
112.1	3.589
117.71	3.5779
123.31	3.5673
128.92	3.5565
134.52	3.545
140.13	3.5329
145.73	3.5187
151.34	3.5026
156.94	3.484
162.55	3.4638
168.15	3.4499
173.76	3.4362
179.36	3.421
184.97	3.4043
190.57	3.3841
196.18	3.3488
199.84	3.2986
201.78	3.2629
204	3.2124
205.89	3.1612
207.39	3.1135
208.66	3.0633
209.74	3.0127
209.98	2.9997
0	3.0326
0.49	3.0837
1.25	3.1339
2.3	3.1845
3.64	3.2347
5.36	3.2849
5.61	3.2905
7.77	3.3407
10.54	3.3913
11.21	3.4015
15.26	3.4517
16.82	3.4604
22.42	3.4768
28.03	3.4911
33.63	3.5057
39.24	3.5199
44.84	3.5354
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.6083
72.87	3.6225
78.47	3.6352
84.08	3.6449
89.68	3.6538
95.29	3.6635
100.89	3.674
106.5	3.6855
112.1	3.6985
117.71	3.7134
123.31	3.7304
128.92	3.7496
134.52	3.7707
140.13	3.7934
145.73	3.8175
151.34	3.8423
156.94	3.8674
162.55	3.8932
168.15	3.9189
173.76	3.9443
179.36	3.9698
184.97	3.9955
190.57	4.0225
196.18	4.0504
201.78	4.0786
207.02	4.0984
209.29	4.0984
209.95	4.0984
0	4.0869
5.61	4.0398
11.21	4.0063
16.82	3.9716
22.42	3.9341
28.03	3.9022
33.63	3.8743
39.24	3.8482
44.84	3.8228
50.45	3.7977
56.05	3.7723
61.66	3.7475
67.26	3.7233
72.87	3.7
78.47	3.6786
84.08	3.6594
89.68	3.6418
95.29	3.6263
100.89	3.6123
106.5	3.5999
112.1	3.589
117.71	3.5779
123.31	3.5673
128.92	3.5568
134.52	3.545
140.13	3.5329
145.73	3.5187
151.34	3.5026
156.94	3.4836
162.55	3.4638
168.15	3.4499
173.76	3.4362
179.36	3.421
184.97	3.404
190.57	3.3838
196.18	3.3475
199.82	3.2973
201.78	3.261
204	3.2108
205.85	3.16
207.39	3.1104
208.66	3.0595
209.78	3.0065
209.91	2.9997
0	3.0326
0.49	3.0834
1.25	3.1336
2.3	3.1842
3.64	3.2344
5.36	3.2846
5.61	3.2905
7.79	3.3407
10.54	3.3909
11.21	3.4012
15.26	3.4514
16.82	3.4604
22.42	3.4765
28.03	3.4914
33.63	3.506
39.24	3.5202
44.84	3.5354
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.6083
72.87	3.6222
78.47	3.6346
84.08	3.6445
89.68	3.6538
95.29	3.6635
100.89	3.6737
106.5	3.6855
112.1	3.6988
117.71	3.7134
123.31	3.7304
128.92	3.7496
134.52	3.771
140.13	3.7937
145.73	3.8175
151.34	3.842
156.94	3.8674
162.55	3.8929
168.15	3.9186
173.76	3.944
179.36	3.9698
184.97	3.9955
190.57	4.0225
196.18	4.05
201.78	4.0786
207.01	4.0984
209.27	4.0984
209.93	4.0984
0	4.0869
5.61	4.0398
11.21	4.0066
16.82	3.9716
22.42	3.9341
28.03	3.9019
33.63	3.874
39.24	3.8479
44.84	3.8225
50.45	3.7974
56.05	3.772
61.66	3.7472
67.26	3.723
72.87	3.6997
78.47	3.6783
84.08	3.6591
89.68	3.6414
95.29	3.6259
100.89	3.6123
106.5	3.5996
112.1	3.5884
117.71	3.5776
123.31	3.5673
128.92	3.5565
134.52	3.5447
140.13	3.5326
145.73	3.5184
151.34	3.5022
156.94	3.4836
162.55	3.4638
168.15	3.4495
173.76	3.4359
179.36	3.4207
184.97	3.4037
190.57	3.3835
196.18	3.3475
199.78	3.2973
201.78	3.2604
203.97	3.2102
205.82	3.1597
207.37	3.1094
207.39	3.1088
208.64	3.0586
209.7	3.0084
209.87	2.9994
0	3.0323
0.47	3.0831
1.25	3.1339
2.28	3.1839
3.64	3.2341
5.34	3.2843
5.61	3.2908
7.79	3.341
10.56	3.3916
11.21	3.4015
15.28	3.4517
16.82	3.4601
22.42	3.4768
28.03	3.4914
33.63	3.506
39.24	3.5199
44.84	3.5351
50.45	3.5525
56.05	3.5714
61.66	3.59
67.26	3.6083
72.87	3.6225
78.47	3.6349
84.08	3.6449
89.68	3.6542
95.29	3.6638
100.89	3.674
106.5	3.6855
112.1	3.6988
117.71	3.7134
123.31	3.7304
128.92	3.7493
134.52	3.7707
140.13	3.7934
145.73	3.8175
151.34	3.8426
156.94	3.8681
162.55	3.8938
168.15	3.9195
173.76	3.945
179.36	3.9701
184.97	3.9961
190.57	4.0228
196.18	4.0504
201.78	4.0786
207.01	4.0981
209.26	4.0981
209.89	4.0981
0	4.0869
5.61	4.0395
11.21	4.0063
16.82	3.9716
22.42	3.9341
28.03	3.9022
33.63	3.8743
39.24	3.8485
44.84	3.8228
50.45	3.7977
56.05	3.7723
61.66	3.7472
67.26	3.723
72.87	3.6997
78.47	3.6783
84.08	3.6591
89.68	3.6414
95.29	3.6259
100.89	3.6123
106.5	3.5999
112.1	3.5887
117.71	3.5779
123.31	3.5673
128.92	3.5565
134.52	3.5447
140.13	3.5323
145.73	3.5184
151.34	3.5022
156.94	3.4833
162.55	3.4635
168.15	3.4495
173.76	3.4359
179.36	3.4207
184.97	3.404
190.57	3.3835
196.18	3.3472
199.76	3.297
201.78	3.2598
203.97	3.2096
205.82	3.1587
207.35	3.1085
207.39	3.1079
208.66	3.0574
209.7	3.0071
209.85	2.9988
0	3.0319
0.49	3.0828
1.25	3.1333
2.3	3.1839
3.64	3.2341
5.36	3.2843
5.61	3.2899
7.77	3.3401
10.5	3.3903
11.21	3.4009
15.25	3.4511
16.82	3.4601
22.42	3.4765
28.03	3.4914
33.63	3.506
39.24	3.5202
44.84	3.5354
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.608
72.87	3.6222
78.47	3.6349
84.08	3.6445
89.68	3.6538
95.29	3.6638
100.89	3.674
106.5	3.6855
112.1	3.6988
117.71	3.7134
123.31	3.7307
128.92	3.7496
134.52	3.7707
140.13	3.7934
145.73	3.8175
151.34	3.8426
156.94	3.8681
162.55	3.8938
168.15	3.9195
173.76	3.945
179.36	3.9704
184.97	3.9961
190.57	4.0231
196.18	4.0507
201.78	4.0792
206.97	4.0984
209.2	4.0981
209.85	4.0981
0	4.0869
5.61	4.0395
11.21	4.006
16.82	3.9713
22.42	3.9338
28.03	3.9019
33.63	3.8743
39.24	3.8482
44.84	3.8228
50.45	3.7977
56.05	3.7723
61.66	3.7475
67.26	3.723
72.87	3.7
78.47	3.6786
84.08	3.6591
89.68	3.6414
95.29	3.6259
100.89	3.6123
106.5	3.5999
112.1	3.5887
117.71	3.5776
123.31	3.5667
128.92	3.5562
134.52	3.5447
140.13	3.5323
145.73	3.5181
151.34	3.5019
156.94	3.4833
162.55	3.4635
168.15	3.4492
173.76	3.4356
179.36	3.4204
184.97	3.4037
190.57	3.3832
196.18	3.3466
199.78	3.2961
201.78	3.2592
203.97	3.209
205.8	3.1584
207.33	3.1082
207.39	3.1067
208.62	3.0567
209.66	3.0065
209.81	2.9988
0	3.0354
0.52	3.0871
1.33	3.1377
2.41	3.1882
3.79	3.2387
5.53	3.289
5.61	3.2905
7.79	3.341
10.56	3.3913
11.21	3.4012
15.26	3.4514
16.82	3.4604
22.42	3.4765
28.03	3.4914
33.63	3.506
39.24	3.5199
44.84	3.5351
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.6083
72.87	3.6225
78.47	3.6349
84.08	3.6449
89.68	3.6538
95.29	3.6638
100.89	3.674
106.5	3.6855
112.1	3.6988
117.71	3.7137
123.31	3.7307
128.92	3.75
134.52	3.771
140.13	3.7937
145.73	3.8178
151.34	3.8433
156.94	3.8687
162.55	3.8944
168.15	3.9198
173.76	3.9453
179.36	3.9707
184.97	3.9964
190.57	4.0234
196.18	4.051
201.78	4.0789
206.97	4.0981
209.2	4.0981
209.83	4.0981
0	4.0869
5.61	4.0395
11.21	4.0063
16.82	3.9713
22.42	3.9338
28.03	3.9019
33.63	3.874
39.24	3.8479
44.84	3.8225
50.45	3.7974
56.05	3.7723
61.66	3.7472
67.26	3.723
72.87	3.7
78.47	3.6783
84.08	3.6588
89.68	3.6411
95.29	3.6256
100.89	3.612
106.5	3.5996
112.1	3.5884
117.71	3.5776
123.31	3.567
128.92	3.5562
134.52	3.5447
140.13	3.5323
145.73	3.5181
151.34	3.5019
156.94	3.483
162.55	3.4629
168.15	3.4489
173.76	3.4356
179.36	3.4201
184.97	3.403
190.57	3.3829
196.18	3.3457
199.73	3.2955
201.78	3.2573
203.97	3.2068
205.78	3.1566
207.31	3.1057
207.39	3.1036
208.64	3.0527
209.68	3.0022
209.72	2.9994
0	3.0319
0.47	3.0819
1.23	3.1324
2.28	3.1826
3.61	3.2328
5.31	3.2831
5.61	3.2902
7.79	3.3404
10.54	3.3906
11.21	3.4009
15.25	3.4511
16.82	3.4601
22.42	3.4765
28.03	3.4911
33.63	3.5057
39.24	3.5199
44.84	3.5351
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.6083
72.87	3.6225
78.47	3.6349
84.08	3.6445
89.68	3.6538
95.29	3.6638
100.89	3.674
106.5	3.6855
112.1	3.6988
117.71	3.7137
123.31	3.7304
128.92	3.7496
134.52	3.771
140.13	3.7937
145.73	3.8182
151.34	3.8433
156.94	3.8687
162.55	3.8944
168.15	3.9202
173.76	3.945
179.36	3.9707
184.97	3.9964
190.57	4.0234
196.18	4.051
201.78	4.0795
206.94	4.0984
209.12	4.0984
209.75	4.0981
0	4.0869
5.61	4.0395
11.21	4.0063
16.82	3.9713
22.42	3.9338
28.03	3.9019
33.63	3.8743
39.24	3.8482
44.84	3.8228
50.45	3.7974
56.05	3.772
61.66	3.7472
67.26	3.723
72.87	3.6997
78.47	3.6783
84.08	3.6591
89.68	3.6414
95.29	3.6256
100.89	3.612
106.5	3.5996
112.1	3.5884
117.71	3.5776
123.31	3.567
128.92	3.5562
134.52	3.5444
140.13	3.5323
145.73	3.5177
151.34	3.5019
156.94	3.483
162.55	3.4632
168.15	3.4492
173.76	3.4353
179.36	3.4201
184.97	3.403
190.57	3.3829
196.18	3.3457
199.73	3.2955
201.78	3.257
203.95	3.2068
205.78	3.156
207.27	3.106
207.39	3.1032
208.62	3.0527
209.66	3.0016
209.7	2.9988
0	3.0354
0.52	3.0856
1.31	3.1364
2.37	3.1866
3.74	3.2366
5.46	3.2868
5.61	3.2902
7.79	3.3404
10.52	3.3906
11.21	3.4012
15.3	3.4514
16.82	3.4601
22.42	3.4765
28.03	3.4914
33.63	3.5057
39.24	3.5199
44.84	3.5351
50.45	3.5528
56.05	3.5717
61.66	3.59
67.26	3.6086
72.87	3.6225
78.47	3.6349
84.08	3.6449
89.68	3.6538
95.29	3.6638
100.89	3.674
106.5	3.6855
112.1	3.6988
117.71	3.7137
123.31	3.7307
128.92	3.75
134.52	3.7713
140.13	3.794
145.73	3.8178
151.34	3.843
156.94	3.8687
162.55	3.8944
168.15	3.9202
173.76	3.9456
179.36	3.9707
184.97	3.9967
190.57	4.0234
196.18	4.0513
201.78	4.0798
206.92	4.0984
209.09	4.0981
209.72	4.0981
0	4.086
5.61	4.0395
11.21	4.0063
16.82	3.9713
22.42	3.9338
28.03	3.9019
33.63	3.874
39.24	3.8479
44.84	3.8228
50.45	3.7974
56.05	3.7723
61.66	3.7472
67.26	3.723
72.87	3.6997
78.47	3.6783
84.08	3.6588
89.68	3.6411
95.29	3.6256
100.89	3.612
106.5	3.5996
112.1	3.5884
117.71	3.5773
123.31	3.567
128.92	3.5562
134.52	3.5447
140.13	3.532
145.73	3.5177
151.34	3.5016
156.94	3.4827
162.55	3.4629
168.15	3.4492
173.76	3.4356
179.36	3.4201
184.97	3.4027
190.57	3.3826
196.18	3.3451
199.73	3.2945
201.78	3.2561
203.97	3.2056
205.76	3.1556
207.27	3.1054
207.39	3.1017
208.6	3.0512
209.65	3.0006
209.66	2.9991
0	3.0319
0.49	3.0828
1.25	3.1336
2.32	3.1845
3.66	3.2347
5.38	3.2852
5.61	3.2905
7.79	3.3407
10.54	3.3909
11.21	3.4009
15.25	3.4511
16.82	3.4601
22.42	3.4765
28.03	3.4911
33.63	3.506
39.24	3.5202
44.84	3.5354
50.45	3.5531
56.05	3.5717
61.66	3.59
67.26	3.6083
72.87	3.6225
78.47	3.6352
84.08	3.6449
89.68	3.6542
95.29	3.6638
100.89	3.674
106.5	3.6855
112.1	3.6988
117.71	3.7137
123.31	3.731
128.92	3.7503
134.52	3.7713
140.13	3.794
145.73	3.8185
151.34	3.8436
156.94	3.869
162.55	3.8947
168.15	3.9205
173.76	3.9459
179.36	3.971
184.97	3.9967
190.57	4.0237
196.18	4.0516
201.78	4.0801
206.9	4.0984
209.05	4.0984
209.62	4.0984
0	4.0869
5.61	4.0392
11.21	4.006
16.82	3.9707
22.42	3.9335
28.03	3.9015
33.63	3.874
39.24	3.8479
44.84	3.8225
50.45	3.7971
56.05	3.7717
61.66	3.7468
67.26	3.7227
72.87	3.6997
78.47	3.678
84.08	3.6588
89.68	3.6411
95.29	3.6253
100.89	3.612
106.5	3.5993
112.1	3.5881
117.71	3.5773
123.31	3.5667
128.92	3.5562
134.52	3.5441
140.13	3.5317
145.73	3.5174
151.34	3.501
156.94	3.4824
162.55	3.4626
168.15	3.4489
173.76	3.4353
179.36	3.4198
184.97	3.4027
190.57	3.3823
196.18	3.3441
199.67	3.2939
201.78	3.2542
203.93	3.204
205.74	3.1538
207.24	3.1036
207.39	3.0977
208.6	3.0474
209.57	2.9991
0	3.0319
0.49	3.0819
1.23	3.1324
2.28	3.1826
3.62	3.2328
5.31	3.2828
5.61	3.2899
7.75	3.3401
10.5	3.3903
11.21	3.4009
15.25	3.4511
16.82	3.4598
22.42	3.4765
28.03	3.4914
33.63	3.506
39.24	3.5224
44.84	3.5382
50.45	3.5553
56.05	3.5732
61.66	3.5912
67.26	3.6089
72.87	3.6228
78.47	3.6352
84.08	3.6449
89.68	3.6542
95.29	3.6641
100.89	3.6743
106.5	3.6858
112.1	3.6988
117.71	3.7137
123.31	3.7307
128.92	3.7503
134.52	3.7717
140.13	3.7946
145.73	3.8185
151.34	3.8436
156.94	3.869
162.55	3.8947
168.15	3.9202
173.76	3.9459
179.36	3.9713
184.97	3.997
190.57	4.024
196.18	4.0516
201.78	4.0798
206.91	4.0981
209.05	4.0981
209.62	4.0981
0	4.0869
5.61	4.0395
11.21	4.006
16.82	3.971
22.42	3.9335
28.03	3.9015
33.63	3.874
39.24	3.8479
44.84	3.8225
50.45	3.7974
56.05	3.772
61.66	3.7472
67.26	3.7227
72.87	3.6994
78.47	3.678
84.08	3.6588
89.68	3.6411
95.29	3.6256
100.89	3.612
106.5	3.5996
112.1	3.5881
117.71	3.5773
123.31	3.5667
128.92	3.5562
134.52	3.5444
140.13	3.5317
145.73	3.5174
151.34	3.5013
156.94	3.4824
162.55	3.4626
168.15	3.4489
173.76	3.435
179.36	3.4198
184.97	3.4027
190.57	3.3826
196.18	3.3441
199.69	3.2939
201.78	3.2539
203.93	3.2037
205.74	3.1532
207.22	3.1032
207.39	3.097
208.6	3.0462
209.55	2.9997
0	3.0326
0.49	3.0846
1.27	3.1349
2.34	3.1857
3.7	3.2359
5.42	3.2862
5.61	3.2902
7.75	3.3404
10.52	3.3909
11.21	3.4012
15.26	3.4514
16.82	3.4604
22.42	3.4768
28.03	3.4914
33.63	3.506
39.24	3.5199
44.84	3.5354
50.45	3.5528
56.05	3.5717
61.66	3.5903
67.26	3.6086
72.87	3.6225
78.47	3.6349
84.08	3.6449
89.68	3.6542
95.29	3.6638
100.89	3.6746
106.5	3.6858
112.1	3.6991
117.71	3.7143
123.31	3.731
128.92	3.7506
134.52	3.772
140.13	3.7946
145.73	3.8188
151.34	3.8439
156.94	3.8693
162.55	3.895
168.15	3.9208
173.76	3.9462
179.36	3.9716
184.97	3.9973
190.57	4.024
196.18	4.0519
201.78	4.0804
206.87	4.0984
208.98	4.0984
209.53	4.0984
0	4.0869
5.61	4.0392
11.21	4.0057
16.82	3.9707
22.42	3.9332
28.03	3.9015
33.63	3.874
39.24	3.8476
44.84	3.8222
50.45	3.7971
56.05	3.772
61.66	3.7468
67.26	3.7227
72.87	3.6994
78.47	3.6777
84.08	3.6585
89.68	3.6408
95.29	3.6253
100.89	3.612
106.5	3.5993
112.1	3.5881
117.71	3.577
123.31	3.5667
128.92	3.5556
134.52	3.5441
140.13	3.532
145.73	3.5174
151.34	3.501
156.94	3.4821
162.55	3.4626
168.15	3.4486
173.76	3.435
179.36	3.4198
184.97	3.4024
190.57	3.382
196.18	3.3432
199.65	3.293
201.78	3.2527
203.91	3.2021
205.7	3.1516
207.2	3.1014
207.39	3.0952
208.56	3.045
209.5	2.9997
0	3.0319
0.49	3.0828
1.25	3.133
2.3	3.1835
3.64	3.2335
5.34	3.2837
5.61	3.2899
7.75	3.3401
10.52	3.3903
11.21	3.4009
15.26	3.4511
16.82	3.4601
22.42	3.4765
28.03	3.4914
33.63	3.506
39.24	3.5202
