RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269953 Points)
Time (s)	Current (mAh)
116926	-40.38
117225	-40.38
117525	-40.38
117825	-40.38
118125	-40.38
118425	-40.38
118725	-40.38
119025	-40.38
119325	-40.38
119625	-40.38
119925	-40.38
120225	-40.38
120525	-40.38
120825	-40.38
121125	-40.38
121425	-40.38
121725	-40.38
122025	-40.38
122325	-40.38
122625	-40.39
122925	-40.38
123225	-40.38
123525	-40.38
123825	-40.38
124125	-40.38
124425	-40.38
124725	-40.38
125025	-40.38
125325	-40.38
125625	-40.38
125925	-40.39
126225	-40.38
126525	-40.38
126825	-40.38
127125	-40.38
127425	-40.38
127725	-40.38
128025	-40.38
128325	-40.38
128625	-40.38
128925	-40.38
129225	-40.38
129525	-40.38
129825	-40.38
130125	-40.38
130425	-40.38
130725	-40.38
131025	-40.38
131325	-40.38
131625	-40.38
131925	-40.38
132225	-40.39
132525	-40.38
132825	-40.38
133125	-40.38
133425	-40.38
133725	-40.39
134025	-40.39
134325	-40.38
134625	-40.38
134925	-40.38
135225	-40.38
135525	-40.38
135805	-40.38
135825	-40.39
136021	-40.38
136125	-40.38
136263	-40.38
136378	-40.38
136425	-40.38
136512	-40.39
136529	-40.38
136530	40.39
136543	40.38
136585	40.39
136667	40.39
136793	40.38
136829	40.38
137006	40.38
137129	40.38
137394	40.38
137429	40.38
137729	40.39
138029	40.38
138329	40.38
138629	40.38
138929	40.38
139229	40.39
139529	40.38
139829	40.38
140129	40.38
140429	40.38
140729	40.38
141029	40.38
141329	40.38
141629	40.38
141929	40.38
142229	40.39
142529	40.38
142829	40.38
143129	40.38
143429	40.38
143729	40.38
144029	40.38
144329	40.38
144629	40.38
144929	40.38
145229	40.38
145529	40.38
145829	40.38
146129	40.38
146429	40.38
146729	40.38
147029	40.38
147329	40.38
147629	40.38
147929	40.38
148229	40.38
148529	40.38
148829	40.38
149129	40.38
149429	40.38
149729	40.38
150029	40.38
150329	40.38
150629	40.39
150929	40.38
151229	40.38
151529	40.38
151829	40.38
152129	40.38
152429	40.38
152729	40.38
153029	40.38
153329	40.38
153629	40.38
153929	40.38
154229	40.38
154529	40.38
154829	40.38
155129	40.38
155429	40.38
155730	40.39
156030	24.68
156330	12.13
156414	9.98
156415	-40.38
156714	-40.38
157014	-40.38
157314	-40.38
157614	-40.38
